id	title	url
j-XFcGr0OoM	ドローンエンジニア養成塾 第１２期キックオフデモ　藤川先生　（四足歩行ロボット＋NonGPS自己位置推定）	https://www.youtube.com/watch?v=j-XFcGr0OoM
RBcDvzM9IUo	ドローンエンジニア養成塾 第１２期キックオフデモ　Randy先生　（技適取得済HereLinkによるローバーSカーブナビゲーション）	https://www.youtube.com/watch?v=RBcDvzM9IUo
vHgM8-kIGa4	ドローンエンジニア養成塾 第１２期キックオフデモ　我田先生　（CO2濃度＋位置情報のローバー計測クラウドシステム）	https://www.youtube.com/watch?v=vHgM8-kIGa4
p7b5UKwH4fQ	ドローンエンジニア養成塾 第１２期キックオフデモ　卒業生渋谷さん　（３DプリンターDIY IRIS　改良進化中）	https://www.youtube.com/watch?v=p7b5UKwH4fQ
Od2LIPwqGZ0	ドローンエンジニア養成塾 第１２期キックオフデモ　高山先生　（ラジコンローバーのAP制御  DIYの配慮点）1/2	https://www.youtube.com/watch?v=Od2LIPwqGZ0
RdHijdlXce4	ドローンエンジニア養成塾 第１２期キックオフデモ　高山先生　（ラジコンローバーのAP制御  DIYの配慮点）2/2	https://www.youtube.com/watch?v=RdHijdlXce4
CvMs3AhvkNg	ドローンエンジニア養成塾 第１２期キックオフデモ　川村先生　（Crash　 Recovery Mode!  ArduPilot Global Community 初公開　1/2	https://www.youtube.com/watch?v=CvMs3AhvkNg
3tgUDxc2Wjc	ドローンエンジニア養成塾 第１２期キックオフデモ　川村先生　（Crash　 Recovery Mode!  ArduPilot Global Community 初公開　2/2	https://www.youtube.com/watch?v=3tgUDxc2Wjc
w_lud0D8-5A	ドローンエンジニア養成塾 第１２期キックオフデモ　卒業生渋谷さん　（４４５ w/ ラズパイ T265　SLAM NonGPS フライト)	https://www.youtube.com/watch?v=w_lud0D8-5A
W8vyF1lWbvM	ドローンエンジニア養成塾 第１２期キックオフデモ　卒業生川崎さん　（リベンジマッチ？　8羽ー＞7羽 ホバリング フライト)	https://www.youtube.com/watch?v=W8vyF1lWbvM
zzsKR9S7OeU	ドローンエンジニア養成塾 第１２期キックオフデモ　卒業生渋谷さん　（アルコマーカー追随航行プログラム)	https://www.youtube.com/watch?v=zzsKR9S7OeU
__hDHD9g8U8	ドローンエンジニア養成塾 第１２期キックオフデモ　卒業生大矢さん　（445 DIY 初フライト成功！)	https://www.youtube.com/watch?v=__hDHD9g8U8
0AszUkUZM7c	ドローンエンジニア養成塾 第１２期キックオフデモ　川村先生＆Randy先生のメッセージ	https://www.youtube.com/watch?v=0AszUkUZM7c
RXgCU6z7v-I	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　渡邊さん 1/2（450 DIY 初組みあげ・オートミッションフライト成功！)	https://www.youtube.com/watch?v=RXgCU6z7v-I
zL_vmaQghsI	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　渡邊さん 2/2（450 DIY 初組みあげ・オートミッションフライト成功！)	https://www.youtube.com/watch?v=zL_vmaQghsI
vnNxkEtP4H0	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　山梨さん 1/2（450 DIY 初組みあげ・オートミッションフライト成功！)	https://www.youtube.com/watch?v=vnNxkEtP4H0
l9A6aCZznOU	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　山梨さん 2/2（450 DIY 初組みあげ・オートミッションフライト成功！)	https://www.youtube.com/watch?v=l9A6aCZznOU
npRhVknHuQY	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　浅野さん 1/2（初組み上げにS500、無事安定航行。そして目標のシングルコプター制作に向けてGO！ )	https://www.youtube.com/watch?v=npRhVknHuQY
DAVV9Gtw8Ns	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　浅野さん 2/2（初組み上げにS500、無事安定航行。そして目標のシングルコプター制作に向けてGO！ )	https://www.youtube.com/watch?v=DAVV9Gtw8Ns
TE6xsnssn2g	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　吉田さん 1/2（初組み上げにF550、調整中。まもなく完成！ )	https://www.youtube.com/watch?v=TE6xsnssn2g
RNDDwnlqNhM	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　吉田さん 2/2（初組み上げにF550、調整中。まもなく完成！ )	https://www.youtube.com/watch?v=RNDDwnlqNhM
xkw8pXThhMo	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　菊池さん 1/2（初組み上げに”アーム収納式”コプター、調整中。乞うご期待！ )	https://www.youtube.com/watch?v=xkw8pXThhMo
